[19/05/2022 13:13:51] Player: Fabio Leandro | Reward: 1x tear of daraman
[02/06/2022 01:58:43] Player: Jon Jon | Reward: 1x pharaot boots
[02/06/2022 01:59:13] Player: Jon Jon | Reward: 100x ultimate spirit potion
[02/06/2022 02:00:14] Player: Victinhox | Reward: 10x eldritch token
[02/06/2022 02:00:28] Player: Jon Jon | Reward: 100x ultimate mana potion
[02/06/2022 02:00:56] Player: Firewall Time | Reward: 5x diamond coin
[02/06/2022 02:01:14] Player: Jon Jon | Reward: 100x supreme health potion
[02/06/2022 02:01:45] Player: Jon Jon | Reward: 1x soulskull backpack
[02/06/2022 02:02:15] Player: Jon Jon | Reward: 100x crystal coin
[02/06/2022 02:02:35] Player: Firewall Time | Reward: 100x crystal coin
[02/06/2022 02:03:14] Player: Firewall Time | Reward: 100x crystal coin
[02/06/2022 02:03:48] Player: Firewall Time | Reward: 100x supreme health potion
[02/06/2022 02:04:02] Player: Jon Jon | Reward: 100x supreme health potion
[02/06/2022 02:04:14] Player: Jon Jon | Reward: 10x eldritch token
[02/06/2022 02:04:54] Player: Jon Jon | Reward: 10x eldritch token
[02/06/2022 02:05:15] Player: Jon Jon | Reward: 50x fragmental ticket
[02/06/2022 02:05:28] Player: Jon Jon | Reward: 1x stamina refil
[02/06/2022 02:06:15] Player: Jon Jon | Reward: 1x stamina refil
[02/06/2022 02:07:14] Player: Jon Jon | Reward: 1x stamina refil
[02/06/2022 02:07:45] Player: Jon Jon | Reward: 100x ultimate mana potion
[02/06/2022 02:08:14] Player: Jon Jon | Reward: 1x soulskull backpack
[02/06/2022 02:10:13] Player: Jon Jon | Reward: 100x crystal coin
[02/06/2022 02:10:47] Player: Jon Jon | Reward: 10x eldritch token
[02/06/2022 02:11:45] Player: Jon Jon | Reward: 100x crystal coin
[02/06/2022 02:11:55] Player: Jon Jon | Reward: 1x soulpotter backpack
[02/06/2022 02:14:15] Player: Jon Jon | Reward: 1x pharaot boots
[02/06/2022 02:18:47] Player: Jon Jon | Reward: 100x crystal coin
[02/06/2022 02:19:16] Player: Jon Jon | Reward: 1x pharaot boots
[02/06/2022 02:25:16] Player: Jon Jon | Reward: 1x stamina refil
[02/06/2022 02:39:23] Player: Hoo Win | Reward: 10x eldritch token
[02/06/2022 02:39:39] Player: Jon Jon | Reward: 5x diamond coin
[02/06/2022 02:40:19] Player: Jon Jon | Reward: 100x crystal coin
[02/06/2022 02:40:47] Player: Jon Jon | Reward: 100x supreme health potion
[02/06/2022 02:41:17] Player: Jon Jon | Reward: 1x stamina refil
[02/06/2022 02:41:46] Player: Jon Jon | Reward: 100x supreme health potion
[02/06/2022 02:42:17] Player: Jon Jon | Reward: 1x soulskull backpack
[02/06/2022 02:42:33] Player: Pitty Lacraia | Reward: 10x eldritch token
[02/06/2022 02:42:43] Player: Pitty Lacraia | Reward: 100x ultimate spirit potion
[02/06/2022 02:42:53] Player: Pitty Lacraia | Reward: 100x crystal coin
[02/06/2022 02:43:04] Player: Pitty Lacraia | Reward: 100x supreme health potion
[02/06/2022 02:43:15] Player: Pitty Lacraia | Reward: 1x stamina refil
[02/06/2022 02:43:27] Player: Pitty Lacraia | Reward: 50x fragmental ticket
[02/06/2022 02:43:38] Player: Pitty Lacraia | Reward: 50x fragmental ticket
[02/06/2022 02:43:49] Player: Pitty Lacraia | Reward: 5x diamond coin
[02/06/2022 02:44:00] Player: Pitty Lacraia | Reward: 100x supreme health potion
[02/06/2022 02:44:10] Player: Pitty Lacraia | Reward: 1x pharaot boots
[02/06/2022 02:44:21] Player: Pitty Lacraia | Reward: 100x supreme health potion
[02/06/2022 02:44:31] Player: Pitty Lacraia | Reward: 1x soulpotter backpack
[02/06/2022 02:44:42] Player: Pitty Lacraia | Reward: 100x crystal coin
[02/06/2022 02:44:52] Player: Pitty Lacraia | Reward: 5x diamond coin
[02/06/2022 02:45:03] Player: Pitty Lacraia | Reward: 50x fragmental ticket
[02/06/2022 02:45:15] Player: Pitty Lacraia | Reward: 1x soulpotter backpack
[02/06/2022 02:45:26] Player: Pitty Lacraia | Reward: 100x supreme health potion
[02/06/2022 02:45:37] Player: Pitty Lacraia | Reward: 1x soulskull backpack
[02/06/2022 02:45:49] Player: Pitty Lacraia | Reward: 10x eldritch token
[02/06/2022 02:45:59] Player: Pitty Lacraia | Reward: 5x diamond coin
[02/06/2022 02:46:10] Player: Pitty Lacraia | Reward: 100x supreme health potion
[02/06/2022 02:46:47] Player: Pitty Lacraia | Reward: 1x soulpotter backpack
[02/06/2022 02:47:47] Player: Hoo Win | Reward: 100x supreme health potion
[02/06/2022 02:50:59] Player: Hoo Win | Reward: 1x addon doll
[02/06/2022 02:56:06] Player: Pitty Lacraia | Reward: 1x pharaot boots
[02/06/2022 02:56:17] Player: Pitty Lacraia | Reward: 50x fragmental ticket
[02/06/2022 02:56:28] Player: Pitty Lacraia | Reward: 100x supreme health potion
[02/06/2022 02:56:39] Player: Pitty Lacraia | Reward: 100x supreme health potion
[02/06/2022 02:56:50] Player: Pitty Lacraia | Reward: 1x stamina refil
[02/06/2022 02:57:01] Player: Pitty Lacraia | Reward: 100x ultimate spirit potion
[02/06/2022 02:57:11] Player: Pitty Lacraia | Reward: 100x ultimate mana potion
[02/06/2022 02:57:21] Player: Pitty Lacraia | Reward: 1x stamina refil
[02/06/2022 02:57:32] Player: Pitty Lacraia | Reward: 100x crystal coin
[02/06/2022 02:57:43] Player: Pitty Lacraia | Reward: 1x stamina refil
[02/06/2022 02:58:18] Player: Pitty Lacraia | Reward: 1x stamina refil
[02/06/2022 02:58:29] Player: Pitty Lacraia | Reward: 5x diamond coin
[02/06/2022 02:58:39] Player: Pitty Lacraia | Reward: 100x supreme health potion
[02/06/2022 02:58:50] Player: Pitty Lacraia | Reward: 1x pharaot boots
[02/06/2022 02:59:00] Player: Pitty Lacraia | Reward: 100x ultimate spirit potion
[02/06/2022 02:59:19] Player: Hoo Win | Reward: 100x supreme health potion
[02/06/2022 02:59:48] Player: Pitty Lacraia | Reward: 100x ultimate mana potion
[02/06/2022 03:00:04] Player: Hoo Win | Reward: 100x crystal coin
[02/06/2022 03:00:17] Player: Hoo Win | Reward: 5x diamond coin
[02/06/2022 03:00:29] Player: Pitty Lacraia | Reward: 100x ultimate mana potion
[02/06/2022 03:00:52] Player: Pitty Lacraia | Reward: 1x stamina refil
[02/06/2022 03:01:19] Player: Hoo Win | Reward: 1x soulpotter backpack
[02/06/2022 03:01:30] Player: Hoo Win | Reward: 100x crystal coin
[02/06/2022 03:01:43] Player: Pitty Lacraia | Reward: 100x crystal coin
[02/06/2022 03:01:53] Player: Pitty Lacraia | Reward: 100x ultimate spirit potion
[02/06/2022 03:02:24] Player: Hoo Win | Reward: 5x diamond coin
[02/06/2022 03:02:34] Player: Hoo Win | Reward: 100x crystal coin
[02/06/2022 03:02:49] Player: Pitty Lacraia | Reward: 10x eldritch token
[02/06/2022 03:03:07] Player: Pitty Lacraia | Reward: 100x crystal coin
[02/06/2022 03:03:18] Player: Pitty Lacraia | Reward: 50x fragmental ticket
[02/06/2022 03:03:33] Player: Pitty Lacraia | Reward: 100x ultimate mana potion
[02/06/2022 03:03:44] Player: Pitty Lacraia | Reward: 1x soulskull backpack
[02/06/2022 03:04:08] Player: Hoo Win | Reward: 100x crystal coin
[02/06/2022 03:09:45] Player: Sir Zughy | Reward: 50x fragmental ticket
[02/06/2022 09:42:58] Player: Jon Jon | Reward: 5x diamond coin
[02/06/2022 09:44:26] Player: Jon Jon | Reward: 1x soulskull backpack
[02/06/2022 09:44:37] Player: Jon Jon | Reward: 1x soulskull backpack
[02/06/2022 09:46:25] Player: Jon Jon | Reward: 1x soulpotter backpack
[02/06/2022 09:52:27] Player: Jon Jon | Reward: 1x soulskull backpack
[02/06/2022 09:53:27] Player: Jon Jon | Reward: 100x ultimate mana potion
[02/06/2022 09:54:27] Player: Jon Jon | Reward: 100x ultimate spirit potion
[02/06/2022 09:55:27] Player: Jon Jon | Reward: 100x ultimate mana potion
[02/06/2022 09:56:27] Player: Jon Jon | Reward: 1x soulskull backpack
[02/06/2022 12:21:43] Player: Jon Jon | Reward: 100x supreme health potion
[02/06/2022 12:22:56] Player: Jon Jon | Reward: 1x pharaot boots
[02/06/2022 12:23:12] Player: Jon Jon | Reward: 50x fragmental ticket
[02/06/2022 12:24:15] Player: Jon Jon | Reward: 100x ultimate spirit potion
[02/06/2022 12:25:12] Player: Jon Jon | Reward: 100x crystal coin
[02/06/2022 12:26:20] Player: Jon Jon | Reward: 1x soulpotter backpack
[02/06/2022 12:27:21] Player: Jon Jon | Reward: 100x crystal coin
[02/06/2022 12:28:14] Player: Jon Jon | Reward: 1x stamina refil
[02/06/2022 12:29:18] Player: Jon Jon | Reward: 5x diamond coin
[02/06/2022 12:30:13] Player: Jon Jon | Reward: 5x diamond coin
[02/06/2022 12:31:20] Player: Jon Jon | Reward: 100x crystal coin
[02/06/2022 12:32:13] Player: Jon Jon | Reward: 10x eldritch token
[02/06/2022 12:33:21] Player: Jon Jon | Reward: 1x stamina refil
[02/06/2022 12:33:43] Player: Jon Jon | Reward: 50x fragmental ticket
[02/06/2022 12:33:55] Player: Jon Jon | Reward: 5x diamond coin
[02/06/2022 12:34:56] Player: Jon Jon | Reward: 1x soulpotter backpack
[02/06/2022 12:35:13] Player: Jon Jon | Reward: 1x stamina refil
[02/06/2022 12:36:23] Player: Jon Jon | Reward: 10x eldritch token
[02/06/2022 12:36:43] Player: Jon Jon | Reward: 5x diamond coin
[02/06/2022 12:37:49] Player: Jon Jon | Reward: 5x diamond coin
[02/06/2022 12:38:00] Player: Jon Jon | Reward: 10x eldritch token
[02/06/2022 12:40:54] Player: Jon Jon | Reward: 10x eldritch token
[02/06/2022 12:41:18] Player: Jon Jon | Reward: 100x ultimate mana potion
[02/06/2022 12:42:35] Player: Jon Jon | Reward: 100x ultimate mana potion
[02/06/2022 12:43:51] Player: Jon Jon | Reward: 1x soulskull backpack
[02/06/2022 12:44:46] Player: Jon Jon | Reward: 50x fragmental ticket
[02/06/2022 12:45:47] Player: Jon Jon | Reward: 10x eldritch token
[02/06/2022 12:46:55] Player: Jon Jon | Reward: 1x stamina refil
[02/06/2022 12:47:47] Player: Jon Jon | Reward: 100x supreme health potion
[02/06/2022 12:50:37] Player: Jon Jon | Reward: 5x diamond coin
[02/06/2022 12:50:47] Player: Jon Jon | Reward: 100x ultimate spirit potion
[02/06/2022 12:53:19] Player: Jon Jon | Reward: 5x diamond coin
[02/06/2022 12:54:17] Player: Jon Jon | Reward: 1x soulskull backpack
[02/06/2022 12:55:37] Player: Jon Jon | Reward: 100x supreme health potion
[02/06/2022 12:55:47] Player: Jon Jon | Reward: 50x fragmental ticket
[02/06/2022 12:56:03] Player: Jon Jon | Reward: 100x crystal coin
[02/06/2022 12:57:25] Player: Jon Jon | Reward: 50x fragmental ticket
[02/06/2022 12:58:15] Player: Jon Jon | Reward: 1x pharaot boots
[02/06/2022 12:58:37] Player: Jon Jon | Reward: 100x ultimate spirit potion
[02/06/2022 12:59:47] Player: Jon Jon | Reward: 1x soulpotter backpack
[02/06/2022 13:01:04] Player: Jon Jon | Reward: 100x ultimate spirit potion
[02/06/2022 13:02:19] Player: Jon Jon | Reward: 100x ultimate mana potion
[02/06/2022 14:12:02] Player: Luxyfera | Reward: 100x ultimate spirit potion
[02/06/2022 14:14:47] Player: Luxyfera | Reward: 100x ultimate mana potion
[02/06/2022 18:57:58] Player: Jon Jon | Reward: 5x diamond coin
[02/06/2022 18:58:57] Player: Jon Jon | Reward: 1x pharaot boots
[02/06/2022 18:59:56] Player: Jon Jon | Reward: 10x eldritch token
[02/06/2022 19:00:34] Player: Jon Jon | Reward: 1x pharaot boots
[02/06/2022 19:00:56] Player: Jon Jon | Reward: 1x soulskull backpack
[02/06/2022 21:01:31] Player: Jon Jon | Reward: 100x ultimate mana potion
[03/06/2022 03:25:02] Player: Loord Toom | Reward: 5x diamond coin
[03/06/2022 03:27:15] Player: Rafa Loko | Reward: 50x fragmental ticket
[03/06/2022 11:49:34] Player: Xuxa La Nuit | Reward: 100x ultimate mana potion
[03/06/2022 13:26:55] Player: Peulindoultimavez | Reward: 1x soulskull backpack
[03/06/2022 18:01:01] Player: Heltao El Patron | Reward: 100x ultimate spirit potion
[03/06/2022 18:02:03] Player: Heltao El Patron | Reward: 50x fragmental ticket
[03/06/2022 18:03:25] Player: Heltao El Patron | Reward: 10x eldritch token
[03/06/2022 19:33:39] Player: Jon Jon | Reward: 1x pharaot boots
[03/06/2022 19:34:10] Player: Jon Jon | Reward: 100x supreme health potion
[03/06/2022 19:34:47] Player: Jon Jon | Reward: 1x stamina refil
[03/06/2022 19:34:58] Player: Jon Jon | Reward: 100x supreme health potion
[03/06/2022 19:35:10] Player: Jon Jon | Reward: 100x supreme health potion
[03/06/2022 19:35:58] Player: Jon Jon | Reward: 100x ultimate spirit potion
[03/06/2022 19:36:16] Player: Jon Jon | Reward: 1x soulpotter backpack
[03/06/2022 19:36:40] Player: Jon Jon | Reward: 5x diamond coin
[03/06/2022 19:38:49] Player: Jon Jon | Reward: 100x supreme health potion
[03/06/2022 19:39:17] Player: Jon Jon | Reward: 100x crystal coin
[03/06/2022 19:39:40] Player: Jon Jon | Reward: 10x eldritch token
[03/06/2022 19:39:50] Player: Jon Jon | Reward: 100x crystal coin
[03/06/2022 19:40:49] Player: Jon Jon | Reward: 100x ultimate mana potion
[03/06/2022 19:41:32] Player: Jon Jon | Reward: 5x diamond coin
[03/06/2022 19:41:42] Player: Jon Jon | Reward: 50x fragmental ticket
[03/06/2022 19:41:53] Player: Jon Jon | Reward: 100x supreme health potion
[03/06/2022 19:42:44] Player: Jon Jon | Reward: 100x ultimate spirit potion
[03/06/2022 19:42:56] Player: Jon Jon | Reward: 100x ultimate spirit potion
[03/06/2022 19:43:08] Player: Jon Jon | Reward: 1x addon doll
[03/06/2022 19:43:19] Player: Jon Jon | Reward: 50x fragmental ticket
[03/06/2022 19:43:31] Player: Jon Jon | Reward: 100x ultimate mana potion
[03/06/2022 19:44:18] Player: Jon Jon | Reward: 100x supreme health potion
[03/06/2022 19:44:29] Player: Jon Jon | Reward: 100x ultimate spirit potion
[03/06/2022 19:44:43] Player: Jon Jon | Reward: 100x supreme health potion
[03/06/2022 19:45:27] Player: Jon Jon | Reward: 100x ultimate mana potion
[03/06/2022 19:45:43] Player: Jon Jon | Reward: 100x ultimate mana potion
[03/06/2022 19:45:53] Player: Jon Jon | Reward: 1x addon doll
[03/06/2022 19:46:43] Player: Jon Jon | Reward: 100x ultimate spirit potion
[03/06/2022 19:46:53] Player: Jon Jon | Reward: 1x pharaot boots
[03/06/2022 19:47:30] Player: Jon Jon | Reward: 100x ultimate mana potion
[03/06/2022 19:47:43] Player: Jon Jon | Reward: 5x diamond coin
[03/06/2022 19:47:54] Player: Jon Jon | Reward: 100x ultimate mana potion
[03/06/2022 19:48:39] Player: Jon Jon | Reward: 1x soulpotter backpack
[03/06/2022 23:30:09] Player: Hercules | Reward: 5x diamond coin
[03/06/2022 23:37:42] Player: Hercules | Reward: 100x ultimate mana potion
[03/06/2022 23:37:54] Player: Hercules | Reward: 1x soulskull backpack
[03/06/2022 23:38:05] Player: Hercules | Reward: 100x ultimate spirit potion
[03/06/2022 23:38:16] Player: Hercules | Reward: 1x soulskull backpack
[03/06/2022 23:38:27] Player: Hercules | Reward: 1x addon doll
[03/06/2022 23:38:38] Player: Hercules | Reward: 50x fragmental ticket
[03/06/2022 23:38:49] Player: Hercules | Reward: 50x fragmental ticket
[03/06/2022 23:39:07] Player: Hercules | Reward: 1x addon doll
[03/06/2022 23:39:24] Player: Hercules | Reward: 100x supreme health potion
[03/06/2022 23:39:37] Player: Hercules | Reward: 100x ultimate mana potion
[03/06/2022 23:39:48] Player: Hercules | Reward: 100x ultimate mana potion
[03/06/2022 23:40:02] Player: Hercules | Reward: 100x crystal coin
[03/06/2022 23:40:13] Player: Hercules | Reward: 100x ultimate mana potion
[03/06/2022 23:40:28] Player: Hercules | Reward: 50x fragmental ticket
[03/06/2022 23:40:39] Player: Hercules | Reward: 100x ultimate mana potion
[03/06/2022 23:40:54] Player: Hercules | Reward: 100x supreme health potion
[03/06/2022 23:41:08] Player: Hercules | Reward: 100x crystal coin
[03/06/2022 23:41:19] Player: Hercules | Reward: 100x ultimate mana potion
[03/06/2022 23:41:31] Player: Hercules | Reward: 1x pharaot boots
[03/06/2022 23:41:44] Player: Hercules | Reward: 100x supreme health potion
[03/06/2022 23:41:56] Player: Hercules | Reward: 5x diamond coin
[03/06/2022 23:42:11] Player: Hercules | Reward: 100x supreme health potion
[03/06/2022 23:42:23] Player: Hercules | Reward: 100x ultimate mana potion
[03/06/2022 23:42:35] Player: Hercules | Reward: 100x crystal coin
[03/06/2022 23:42:45] Player: Hercules | Reward: 5x diamond coin
[03/06/2022 23:42:58] Player: Hercules | Reward: 100x ultimate spirit potion
[03/06/2022 23:43:11] Player: Hercules | Reward: 5x diamond coin
[03/06/2022 23:43:22] Player: Hercules | Reward: 100x supreme health potion
[03/06/2022 23:43:35] Player: Hercules | Reward: 100x supreme health potion
[03/06/2022 23:43:49] Player: Hercules | Reward: 5x diamond coin
[03/06/2022 23:44:00] Player: Hercules | Reward: 1x addon doll
[03/06/2022 23:44:12] Player: Hercules | Reward: 50x fragmental ticket
[03/06/2022 23:44:30] Player: Hercules | Reward: 100x supreme health potion
[03/06/2022 23:44:42] Player: Hercules | Reward: 100x crystal coin
[03/06/2022 23:44:53] Player: Hercules | Reward: 5x diamond coin
[03/06/2022 23:45:07] Player: Hercules | Reward: 1x pharaot boots
[03/06/2022 23:45:18] Player: Hercules | Reward: 100x crystal coin
[03/06/2022 23:45:30] Player: Hercules | Reward: 100x supreme health potion
[03/06/2022 23:45:44] Player: Hercules | Reward: 100x supreme health potion
[03/06/2022 23:45:54] Player: Hercules | Reward: 50x fragmental ticket
[03/06/2022 23:46:04] Player: Hercules | Reward: 100x ultimate mana potion
[03/06/2022 23:46:26] Player: Hercules | Reward: 5x diamond coin
[03/06/2022 23:46:37] Player: Hercules | Reward: 100x supreme health potion
[03/06/2022 23:46:50] Player: Hercules | Reward: 1x pharaot boots
[03/06/2022 23:47:17] Player: Hercules | Reward: 100x supreme health potion
[03/06/2022 23:52:20] Player: Hercules | Reward: 100x ultimate mana potion
[03/06/2022 23:52:34] Player: Hercules | Reward: 1x addon doll
[03/06/2022 23:52:44] Player: Hercules | Reward: 1x soulskull backpack
[03/06/2022 23:52:55] Player: Hercules | Reward: 100x ultimate mana potion
[03/06/2022 23:53:12] Player: Hercules | Reward: 100x ultimate mana potion
[03/06/2022 23:53:24] Player: Hercules | Reward: 1x pharaot boots
[03/06/2022 23:53:35] Player: Hercules | Reward: 50x fragmental ticket
[03/06/2022 23:53:45] Player: Hercules | Reward: 1x pharaot boots
[03/06/2022 23:53:56] Player: Hercules | Reward: 100x crystal coin
[03/06/2022 23:54:06] Player: Hercules | Reward: 100x supreme health potion
[03/06/2022 23:57:28] Player: Hercules | Reward: 1x stamina refil
[03/06/2022 23:57:38] Player: Hercules | Reward: 100x supreme health potion
[03/06/2022 23:58:24] Player: Hercules | Reward: 100x crystal coin
[03/06/2022 23:58:35] Player: Hercules | Reward: 1x soulskull backpack
[04/06/2022 00:00:00] Player: Hercules | Reward: 5x diamond coin
[04/06/2022 00:00:11] Player: Hercules | Reward: 100x ultimate mana potion
[04/06/2022 00:01:03] Player: Hercules | Reward: 100x ultimate mana potion
[04/06/2022 00:01:14] Player: Hercules | Reward: 5x diamond coin
[04/06/2022 00:01:25] Player: Hercules | Reward: 1x soulskull backpack
[04/06/2022 00:01:40] Player: Hercules | Reward: 100x supreme health potion
[04/06/2022 00:02:01] Player: Hercules | Reward: 1x pharaot boots
[04/06/2022 00:02:14] Player: Hercules | Reward: 1x soulskull backpack
[04/06/2022 00:02:41] Player: Hercules | Reward: 5x diamond coin
[04/06/2022 00:02:53] Player: Hercules | Reward: 1x pharaot boots
[04/06/2022 00:03:05] Player: Hercules | Reward: 100x ultimate spirit potion
[04/06/2022 00:03:42] Player: Hercules | Reward: 100x ultimate mana potion
[04/06/2022 00:03:58] Player: Hercules | Reward: 100x crystal coin
[04/06/2022 00:04:19] Player: Hercules | Reward: 1x pharaot boots
[04/06/2022 00:04:30] Player: Hercules | Reward: 50x fragmental ticket
[04/06/2022 00:04:51] Player: Hercules | Reward: 5x diamond coin
[04/06/2022 00:05:02] Player: Hercules | Reward: 1x soulskull backpack
[04/06/2022 00:05:14] Player: Hercules | Reward: 1x pharaot boots
[04/06/2022 00:05:30] Player: Hercules | Reward: 100x ultimate mana potion
[04/06/2022 00:05:46] Player: Hercules | Reward: 1x soulskull backpack
[04/06/2022 00:06:00] Player: Hercules | Reward: 100x supreme health potion
[04/06/2022 00:06:13] Player: Hercules | Reward: 5x diamond coin
[04/06/2022 00:06:25] Player: Hercules | Reward: 50x fragmental ticket
[04/06/2022 00:06:36] Player: Hercules | Reward: 100x supreme health potion
[04/06/2022 00:06:47] Player: Hercules | Reward: 10x eldritch token
[04/06/2022 00:06:58] Player: Hercules | Reward: 100x ultimate mana potion
[04/06/2022 00:07:16] Player: Hercules | Reward: 5x diamond coin
[04/06/2022 00:12:25] Player: Hercules | Reward: 1x pharaot boots
[04/06/2022 01:30:45] Player: Firewall Time | Reward: 5x diamond coin
[04/06/2022 07:46:51] Player: Jp Returns | Reward: 1x pharaot boots
[04/06/2022 08:21:13] Player: Heltao El Patron | Reward: 5x diamond coin
[04/06/2022 08:22:14] Player: Heltao El Patron | Reward: 5x diamond coin
[04/06/2022 08:23:13] Player: Heltao El Patron | Reward: 5x diamond coin
[04/06/2022 08:23:26] Player: Heltao El Patron | Reward: 100x ultimate spirit potion
[04/06/2022 08:24:13] Player: Heltao El Patron | Reward: 10x eldritch token
[04/06/2022 08:28:05] Player: Heltao El Patron | Reward: 1x pharaot boots
[04/06/2022 08:28:40] Player: Heltao El Patron | Reward: 100x supreme health potion
[04/06/2022 08:29:43] Player: Heltao El Patron | Reward: 1x ferumbras' hat
[04/06/2022 08:32:16] Player: Heltao El Patron | Reward: 100x crystal coin
[04/06/2022 08:32:33] Player: Heltao El Patron | Reward: 100x ultimate spirit potion
[04/06/2022 08:33:33] Player: Heltao El Patron | Reward: 1x pharaot boots
[04/06/2022 08:47:37] Player: Heltao El Patron | Reward: 1x pharaot boots
[04/06/2022 08:47:50] Player: Heltao El Patron | Reward: 5x diamond coin
[04/06/2022 15:39:28] Player: Sujyro Khyfuja | Reward: 100x ultimate mana potion
[04/06/2022 17:26:10] Player: Loord Toom | Reward: 100x ultimate mana potion
[04/06/2022 17:26:22] Player: Loord Toom | Reward: 1x pharaot boots
[04/06/2022 17:27:07] Player: Loord Toom | Reward: 100x ultimate mana potion
[04/06/2022 17:27:37] Player: Loord Toom | Reward: 100x ultimate mana potion
[04/06/2022 17:28:24] Player: Loord Toom | Reward: 100x ultimate spirit potion
[04/06/2022 17:28:36] Player: Loord Toom | Reward: 1x pharaot boots
[04/06/2022 23:47:22] Player: John Starbucksz | Reward: 100x supreme health potion
[05/06/2022 07:32:32] Player: Lxd Xd | Reward: 100x ultimate spirit potion
[05/06/2022 12:12:32] Player: Marashalmuzylee | Reward: 1x soulpotter backpack
[05/06/2022 12:16:37] Player: Marashalmuzylee | Reward: 5x diamond coin
[05/06/2022 12:18:47] Player: Marashalmuzylee | Reward: 100x supreme health potion
[05/06/2022 21:07:16] Player: Miners Nigger | Reward: 100x supreme health potion
[06/06/2022 01:50:02] Player: Tapioca | Reward: 100x ultimate mana potion
[06/06/2022 01:51:31] Player: Tapioca | Reward: 100x ultimate spirit potion
[06/06/2022 01:51:44] Player: Tapioca | Reward: 1x ferumbras' hat
[06/06/2022 08:21:22] Player: Heltao El Patron | Reward: 1x soulskull backpack
[06/06/2022 08:27:03] Player: Heltao El Patron | Reward: 100x ultimate spirit potion
[06/06/2022 17:53:48] Player: Jon Jon | Reward: 100x crystal coin
[06/06/2022 19:55:28] Player: Vasily Lomachenko | Reward: 1x stamina refil
[06/06/2022 20:33:15] Player: Jon Jon | Reward: 100x ultimate spirit potion
[06/06/2022 20:33:26] Player: Jon Jon | Reward: 10x eldritch token
[06/06/2022 20:33:36] Player: Jon Jon | Reward: 100x supreme health potion
[06/06/2022 20:33:50] Player: Jon Jon | Reward: 5x diamond coin
[06/06/2022 20:34:00] Player: Jon Jon | Reward: 100x ultimate mana potion
[06/06/2022 21:10:27] Player: Jon Jon | Reward: 100x crystal coin
[06/06/2022 21:12:34] Player: Jon Jon | Reward: 100x ultimate mana potion
[06/06/2022 21:12:52] Player: Jon Jon | Reward: 100x supreme health potion
[06/06/2022 21:13:04] Player: Jon Jon | Reward: 100x crystal coin
[06/06/2022 21:13:15] Player: Jon Jon | Reward: 100x ultimate mana potion
[06/06/2022 21:13:27] Player: Jon Jon | Reward: 1x soulskull backpack
[06/06/2022 21:13:38] Player: Jon Jon | Reward: 1x pharaot boots
[06/06/2022 21:13:48] Player: Jon Jon | Reward: 100x supreme health potion
[06/06/2022 21:13:59] Player: Jon Jon | Reward: 100x ultimate spirit potion
[06/06/2022 21:14:14] Player: Jon Jon | Reward: 1x pharaot boots
[06/06/2022 21:14:25] Player: Jon Jon | Reward: 100x supreme health potion
[06/06/2022 21:14:37] Player: Jon Jon | Reward: 1x soulskull backpack
[06/06/2022 21:14:48] Player: Jon Jon | Reward: 1x pharaot boots
[06/06/2022 21:15:00] Player: Jon Jon | Reward: 100x ultimate spirit potion
[06/06/2022 21:15:10] Player: Jon Jon | Reward: 100x ultimate mana potion
[06/06/2022 21:15:27] Player: Jon Jon | Reward: 100x ultimate spirit potion
[06/06/2022 21:15:42] Player: Jon Jon | Reward: 10x eldritch token
[06/06/2022 21:15:53] Player: Jon Jon | Reward: 50x fragmental ticket
[06/06/2022 21:16:07] Player: Jon Jon | Reward: 1x pharaot boots
[06/06/2022 21:16:18] Player: Jon Jon | Reward: 100x ultimate mana potion
[06/06/2022 21:16:30] Player: Jon Jon | Reward: 100x ultimate mana potion
[06/06/2022 21:16:42] Player: Jon Jon | Reward: 1x soulskull backpack
[06/06/2022 21:16:53] Player: Jon Jon | Reward: 5x diamond coin
[06/06/2022 21:17:04] Player: Jon Jon | Reward: 5x diamond coin
[06/06/2022 21:17:14] Player: Jon Jon | Reward: 100x ultimate spirit potion
[06/06/2022 21:17:26] Player: Jon Jon | Reward: 100x ultimate mana potion
[06/06/2022 21:17:42] Player: Jon Jon | Reward: 100x supreme health potion
[06/06/2022 21:17:55] Player: Jon Jon | Reward: 50x fragmental ticket
[06/06/2022 21:18:07] Player: Jon Jon | Reward: 100x supreme health potion
[06/06/2022 21:18:20] Player: Jon Jon | Reward: 100x ultimate mana potion
[06/06/2022 21:18:34] Player: Jon Jon | Reward: 50x fragmental ticket
[06/06/2022 21:18:44] Player: Jon Jon | Reward: 5x diamond coin
[06/06/2022 21:18:55] Player: Jon Jon | Reward: 100x supreme health potion
[06/06/2022 21:19:08] Player: Jon Jon | Reward: 100x supreme health potion
[06/06/2022 21:19:21] Player: Jon Jon | Reward: 100x ultimate spirit potion
[06/06/2022 21:19:31] Player: Jon Jon | Reward: 50x fragmental ticket
[06/06/2022 21:19:43] Player: Jon Jon | Reward: 10x eldritch token
[06/06/2022 21:19:53] Player: Jon Jon | Reward: 5x diamond coin
[06/06/2022 21:20:11] Player: Jon Jon | Reward: 100x crystal coin
[06/06/2022 21:20:52] Player: Jon Jon | Reward: 100x ultimate spirit potion
[06/06/2022 21:21:04] Player: Jon Jon | Reward: 1x pharaot boots
[06/06/2022 21:21:27] Player: Jon Jon | Reward: 50x fragmental ticket
